Country,Year,Water Source Type,pH Level,Dissolved Oxygen ,Diarrhea,Typhoid,Rainfall
Indonesia,2022,Tap,8.01,7.73,85.93,42,56.58
Brazil,2001,Tap,7.53,7.49,54.96,16,21.56
Pakistan,2024,River,6.94,9.75,78.25,1,47.75
Nigeria,2019,Spring,6,9.77,43.09,32,54.8
Pakistan,2007,Tap,7.12,5.64,86.94,28,33.23
Brazil,2022,River,6.69,7.13,76.01,5,32.87
Ethiopia,2006,Spring,6.26,3.99,60.72,42,33.36
Nigeria,2007,Tap,6.19,3.47,90.52,35,49.65
Pakistan,2000,Spring,6.87,6.03,39.75,23,85.4
Indonesia,2020,Lake,7.54,7.83,89.2,10,80.75
China,2001,Pond,8.09,6.97,31.67,4,20.81
USA,2017,Lake,6.46,6.01,82.72,29,20.77
China,2014,Spring,7.06,8.73,70.14,9,26.22
Brazil,2000,Tap,6.98,8.56,78.77,36,57.33
India,2004,River,7.28,8.12,58.86,26,91.11
USA,2001,Well,8.02,3.54,90.51,26,34.58
Mexico,2019,River,7.38,8.58,51.92,23,58.14
Indonesia,2002,Well,8.12,9.44,49.25,2,23.26
Mexico,2018,Well,7.3,3.42,51.12,37,21.63
Nigeria,2017,Tap,7.51,5.81,84.21,25,20.6
USA,2021,Spring,7.09,9.92,64.67,44,78.93
Mexico,2017,River,8.06,7.19,67.6,47,21.91
Mexico,2013,Spring,8.31,6.6,88.22,38,41.91
Pakistan,2023,Lake,7.6,4.24,88.34,17,71.6
China,2007,Tap,8.05,6.96,41.32,2,69.49
Pakistan,2011,Tap,6.15,6.07,68.48,37,24.41
USA,2020,Lake,8.27,3.89,38.82,41,40.53
USA,2009,River,6.47,6.25,90.8,47,71.15
Brazil,2022,Pond,6.64,4.15,88.59,24,51.38
Pakistan,2019,Lake,6.13,8.11,89.45,12,57.27
Bangladesh,2016,River,8.41,9.82,79.34,24,36.57
China,2010,Well,8.13,6.29,62.68,23,23.02
USA,2001,Tap,8.28,7.43,58.33,40,47.62
Brazil,2003,River,8.12,6.02,57.67,15,74.64
Pakistan,2000,Spring,7.2,3.97,34.63,42,81.32
China,2014,Spring,8.31,9.79,96.42,40,67.4
Pakistan,2012,Tap,8.42,3.91,61.52,41,51.46
Mexico,2007,Lake,7.26,3.78,95.11,10,66.65
Brazil,2024,Pond,6.44,6.21,91.55,20,76.4
China,2003,Lake,7.65,7.61,88,30,80.42
Ethiopia,2009,River,8.44,5.48,71.18,14,27.56
Nigeria,2018,Lake,8.18,4.35,37.11,44,84.24
Nigeria,2017,Tap,8.15,8.73,52.67,48,25.08
China,2004,River,8.33,5.54,72.25,35,89.64
Pakistan,2018,Well,8.23,4.36,30.94,42,51.38
Brazil,2022,Lake,7.94,5.56,32.98,0,63.75
Nigeria,2021,Lake,7.8,4.5,77.44,27,43.2
Brazil,2015,Pond,6.66,6.64,92.17,32,54.13
Nigeria,2000,River,7.55,7.68,89.86,2,87.62
Mexico,2011,Spring,7.3,8.6,41.77,14,43.66
Pakistan,2023,Lake,8.15,4.59,93.79,32,65.13
Mexico,2001,Tap,7.23,4.17,78.74,31,71.77
Nigeria,2020,Lake,6.32,3.14,80.14,22,31.71
Ethiopia,2024,Pond,6.01,4.6,51.28,25,82.23
Ethiopia,2007,Well,7.69,3.17,80.12,47,99.93
Mexico,2017,Pond,7.37,5.42,79.68,16,32.4
Ethiopia,2024,Lake,6.83,4.02,71.63,8,81.43
Nigeria,2015,Spring,6.42,7.06,55.01,4,31.77
China,2004,Lake,7.17,5.69,86.77,28,96.02
Mexico,2021,River,6.25,3.66,95.63,5,52.88
India,2012,Lake,6.84,5.8,90.89,46,98.39
Pakistan,2018,Spring,6.95,4.47,47.01,40,25.43
Ethiopia,2002,River,7.16,7.76,61.2,34,83.28
Ethiopia,2007,Tap,7.17,5.55,53.97,20,57.87
USA,2011,River,6.64,4.03,79.52,44,43.16
Bangladesh,2001,Pond,8.13,5.45,88.2,44,79.83
Mexico,2010,Well,6.89,4.57,45.11,22,70.83
Indonesia,2011,Pond,6.57,8.57,96.31,34,92.23
Ethiopia,2017,River,6.44,9.88,77.41,45,39.9
Pakistan,2012,Tap,6.81,3.18,45.29,1,95.18
India,2004,Lake,6.17,7.83,55.98,41,71.35
Ethiopia,2021,River,6.08,4.85,37.32,8,56.03
India,2011,Pond,7.51,3.46,71.79,12,24.25
Nigeria,2001,River,7.55,3.1,41.84,42,81.21
Nigeria,2004,River,7.32,9.17,78.52,33,88.67
Bangladesh,2006,River,7.91,5.48,81.61,15,84.77
China,2023,Tap,6.1,9.96,63.55,4,78.85
Indonesia,2011,Spring,8.34,6.1,36.57,0,97.55
USA,2015,Spring,6.24,4.31,72.76,39,87.93
Bangladesh,2022,River,7.69,8.44,56.05,21,94.23
Brazil,2007,Tap,6.33,9.49,96.48,47,78.44
USA,2008,Tap,8.2,8.71,65.92,45,85.62
Mexico,2014,River,7.28,8.22,35.06,25,43.13
Pakistan,2004,Pond,6.21,5.34,74.52,33,73.51
Brazil,2012,Pond,7.54,3.45,84.55,49,36.44
Brazil,2004,Well,6.02,4.41,41.24,20,25.54
Bangladesh,2010,River,7.94,6.13,61.43,6,66.34
China,2009,Well,7.63,9.69,82.02,24,82.63
Bangladesh,2019,Pond,6.53,8.06,31.43,11,26.62
Mexico,2012,Pond,6.94,8.8,32.03,30,34.5
Ethiopia,2008,River,6.02,4.94,77.38,46,27.44
Ethiopia,2020,Well,7.73,7.79,80.76,26,70.73
China,2013,Well,6.81,9.04,89.21,21,26.36
Mexico,2017,River,7.43,6.36,57.97,33,27.46
China,2014,Well,8.39,6.01,57.28,16,41.13
India,2009,Lake,6.75,8.04,68.67,10,41.62
Ethiopia,2023,Pond,8.48,6.92,83.01,28,64.6
Brazil,2006,Spring,7.58,9.95,74.87,33,22.57
Indonesia,2007,Tap,6.61,5.98,52.91,36,69.23
Pakistan,2002,Well,7.09,4.23,54.26,48,52.94
Mexico,2014,Well,7.85,6.3,83.41,47,34.3
USA,2015,Tap,7.12,4.65,67.43,25,72.27
China,2003,Well,6.17,6.93,36.86,44,46.37
Pakistan,2020,Tap,6.42,3.88,40.71,44,86.2
USA,2005,River,7.98,9.65,89.58,44,99.15
Pakistan,2000,Lake,7.62,9.02,99.92,31,82.32
Indonesia,2003,Lake,7.42,4.09,53.5,36,79.44
USA,2010,Pond,6.42,4.21,57.07,4,48.41
Bangladesh,2011,Spring,8.09,6.59,40.81,19,62.77
Nigeria,2004,Well,8.4,8.41,46.5,6,24.21
Bangladesh,2022,Spring,6.1,4.53,59.72,42,78.19
Ethiopia,2020,River,6.2,3.43,49.91,22,74
Nigeria,2015,Lake,8.21,6.82,79.1,0,41.55
Bangladesh,2012,River,8.04,7.84,67.65,38,62.73
Nigeria,2012,River,7.54,4.71,87.56,2,74.35
Nigeria,2016,Well,8.36,8.18,80.72,44,49.43
Brazil,2006,River,7.62,9.65,38.97,2,78.05
China,2007,Lake,6.54,3.96,38.64,5,83.74
China,2012,Spring,7.82,6.58,92.7,30,37.88
Brazil,2022,Lake,7.61,3.4,87.37,26,44.1
Pakistan,2015,Well,8.46,4.45,62.75,28,52.13
India,2003,Lake,6.53,3.63,39.13,14,38.85
Pakistan,2007,Tap,7.49,5.83,92.9,35,82.05
USA,2015,Spring,7.95,8.75,46.15,4,65.75
USA,2020,Tap,6.85,7.04,32.49,2,50.41
Nigeria,2009,Tap,6.95,4.56,94.7,24,21.28
Bangladesh,2024,Pond,8.22,3.28,86.63,31,46.07
Bangladesh,2011,Well,7.01,6.87,78.54,20,86.92
China,2011,River,7.56,3.93,32.38,47,79.48
Mexico,2004,Tap,8.22,5.4,66.99,16,25.39
Pakistan,2015,Lake,6.52,6.57,75.75,8,84.12
Ethiopia,2000,River,8.45,9.33,83.15,25,34.32
Indonesia,2008,Lake,7.75,3.57,62.98,21,98.96
Bangladesh,2011,Lake,7.24,7.68,96.73,40,89.48
Indonesia,2004,River,7.08,3.1,47.13,45,93.06
Nigeria,2021,River,8.39,7.41,34.88,22,81.56
Indonesia,2019,Lake,6.51,6.86,53.29,10,76.86
Ethiopia,2021,Well,6.78,8.68,76.33,9,39.55
Brazil,2023,Spring,6.77,6.72,81.6,22,66.91
Ethiopia,2002,Pond,6.72,5.47,81.69,4,75.71
Indonesia,2004,Spring,7.17,4.7,37.75,25,43.05
Ethiopia,2001,Well,8.47,3.6,91.96,3,51.86
India,2013,Pond,8.22,6.74,49.66,42,95.76
Nigeria,2001,River,6.82,9.22,44.69,26,52.64
Pakistan,2012,Pond,7.06,6.6,73.01,37,45.23
Brazil,2006,Lake,7.67,8.17,44.83,33,28.58
Bangladesh,2009,Spring,6.04,5.09,65.56,2,47.31
USA,2012,Pond,8.05,6.14,58.49,49,68.97
Pakistan,2015,Lake,8.2,5.27,46.24,31,31.82
USA,2013,Well,8.14,3.76,50.44,25,68.42
Nigeria,2010,Pond,6.94,5.92,59.92,17,79.3
Brazil,2009,Lake,7.15,8.35,54.23,6,81.46
China,2005,Well,6.03,5.76,56.71,44,98.78
Bangladesh,2003,River,7,7.55,81.48,12,54.76
India,2020,Well,7.15,8.31,41.79,5,22.59
China,2000,Well,8.27,5.26,73.93,34,88.38
Nigeria,2006,Spring,8.23,8.58,77.47,30,26.68
Pakistan,2023,Lake,8.42,5.37,86.15,41,88.93
India,2008,Pond,8.21,4.79,89.31,36,98.62
Ethiopia,2007,Spring,6.02,4.56,41.11,42,92.55
Indonesia,2004,Tap,7.6,4.4,39.68,3,97.12
India,2018,Well,6.17,8.16,73.03,41,21.87
Nigeria,2009,Tap,6.68,9.21,82.98,3,20.91
Mexico,2010,Spring,7.45,4.61,49.06,44,36.82
Indonesia,2024,Lake,7.75,3.6,66.81,7,83.9
USA,2014,Spring,7.64,5.2,84.06,37,27.15
Bangladesh,2005,Lake,6.12,7.6,83.73,10,79.72
USA,2014,Lake,6.26,5.58,75.77,1,21
India,2004,River,6.32,6.84,35.52,17,78.49
USA,2018,Well,6.23,8.21,33.55,17,40.01
Nigeria,2021,Spring,6.45,5.86,57.19,21,55.24
Ethiopia,2018,Lake,7.72,10,31.87,11,98.12
Pakistan,2009,Spring,8.08,5.09,93.29,16,64.14
Bangladesh,2011,Spring,7.02,9.85,31.41,16,25.97
USA,2021,Lake,7.73,4.42,32.07,35,89.85
USA,2003,Pond,6.5,3.78,41.57,28,45.89
India,2017,Tap,8.43,8.26,73.89,48,66.83
Pakistan,2015,Well,6.87,7.92,67.91,15,76.94
China,2007,Well,8.11,8.68,76.16,40,82.2
USA,2003,Pond,8.36,5.41,92.55,10,54.6
Nigeria,2024,River,8.16,9.52,61.85,43,81.85
Mexico,2022,Pond,6.17,3.84,33.07,42,29.35
Bangladesh,2011,River,7.63,3.21,83.44,44,62.05
USA,2001,River,6.3,5.1,86.84,21,21.75
Nigeria,2003,Pond,6.01,8.58,33.49,29,52.5
Nigeria,2004,Well,6.13,7.71,47,7,49.18
Bangladesh,2002,Tap,8.29,6.05,83.94,45,98.25
China,2008,Well,8.27,4.79,56.33,17,51.83
Nigeria,2020,Well,6.56,3.41,63.09,45,92.57
Mexico,2017,Well,7.37,5.36,87.62,15,54.82
Nigeria,2010,Pond,8.39,6.22,36.62,46,62.67
Nigeria,2002,Pond,7.24,7.81,77.41,19,48.06
Nigeria,2024,Pond,6.98,7.52,45.05,38,71.2
Ethiopia,2022,Well,7.21,9.63,34.39,7,79.13
Ethiopia,2001,Tap,7.98,3.7,76.37,29,83.28
China,2008,River,7.19,5.35,38.5,37,75.52
USA,2013,Spring,7.96,6.37,82.29,28,46.4
Nigeria,2003,River,7.08,7.69,44.19,12,46.45
Pakistan,2008,River,6.63,6.47,33.4,16,47.83
USA,2012,Spring,6.82,9.39,36.95,39,23.03
China,2017,Well,6.19,7.26,88.89,42,95.44
Brazil,2014,Tap,7.24,3.28,55.97,16,35.66
USA,2009,Tap,6.37,3.8,51.16,8,32.74
USA,2015,River,8.03,8.27,64.38,1,64.19
Indonesia,2011,Spring,7.05,8.01,74.31,41,23.79
India,2019,Lake,7.91,4.07,32.6,23,87.03
Indonesia,2004,Well,8.39,3.41,92.87,20,90.1
Mexico,2001,River,8.12,7.05,97.09,45,51.82
Ethiopia,2009,Tap,8.38,7.45,59.21,1,97.71
Ethiopia,2000,Pond,7.42,3.95,58.88,4,45.94
India,2006,Pond,6.41,6.32,91.5,16,40.82
Bangladesh,2016,Spring,8.34,5.14,60.05,23,99.18
Bangladesh,2015,Spring,8.17,9.52,89.93,7,40.02
China,2023,River,8.16,4.53,31.98,29,55.54
India,2002,Lake,7.73,8.13,64.28,49,68.95
USA,2013,Tap,7.56,6.63,96.67,21,45.8
Bangladesh,2009,River,6.04,3.08,47.7,23,50.74
Nigeria,2021,Lake,7.87,6.62,48.63,25,77.66
Pakistan,2006,Spring,6.23,3.7,74.11,7,77.84
USA,2016,Pond,6.65,7.61,94.83,11,84.29
Mexico,2005,Well,7.38,6.96,43.91,13,67.5
Nigeria,2022,Pond,7.13,3.07,94.52,29,38.68
Nigeria,2021,Tap,6.04,4.43,76.41,34,46.65
India,2003,Tap,8.06,8.43,99.51,30,92.06
China,2016,Pond,8.2,4.93,81.55,27,78.7
Mexico,2008,Pond,7.7,6.49,76.75,45,27.04
Bangladesh,2003,Lake,7.35,5.18,87.04,26,80.29
India,2006,River,8.4,9.45,42.26,35,46.45
Bangladesh,2022,Spring,6.3,6.76,96.22,0,21.86
India,2001,Lake,7.84,7.87,41.59,40,58.7
India,2016,Well,6.32,3.58,31.8,13,90.67
India,2023,Pond,6.95,3.28,78.85,9,55.55
China,2007,Well,7.46,4.81,42.92,49,99.1
India,2022,Well,7.84,5.16,83.11,41,34.25
Brazil,2014,Lake,6.01,7.81,85.65,6,48.07
Pakistan,2014,Spring,6.65,6.98,46.57,39,21.33
Bangladesh,2007,Tap,7.35,5.62,36.07,13,24.03
USA,2015,River,7.33,7.58,65.06,35,48.35
Indonesia,2018,Tap,7.59,4.14,92.32,26,62.27
Mexico,2010,Spring,6.76,3.44,89.31,10,38.97
Ethiopia,2001,Tap,7.35,8.98,38.2,41,33.32
China,2022,Pond,6.47,6.95,97.53,48,53.65
USA,2023,Pond,6.47,7.54,48.48,36,33.65
Nigeria,2016,Lake,7.44,5.15,54.46,41,70.47
Brazil,2015,Well,7.71,5.6,40.43,9,96.42
Ethiopia,2024,Spring,6.3,3.58,56.45,6,84.52
Indonesia,2014,Spring,6.31,9,74.49,16,37.22
USA,2012,Tap,7.41,7.15,65.43,11,96.09
Ethiopia,2014,Lake,6.68,3.59,87.93,36,80.09
USA,2003,Tap,6.98,8.63,74.89,36,32.4
Brazil,2015,Tap,7,6.11,48.45,35,66.35
Indonesia,2011,Spring,6.45,8.36,69.02,6,97.32
Nigeria,2003,Tap,6,3.09,34.49,23,27.74
India,2002,Well,8.13,3.2,70.66,33,41.68
Bangladesh,2021,Tap,7.79,4.2,57.28,0,49.93
Nigeria,2016,Well,7.73,4.48,36.89,28,29.25
India,2021,Spring,7.37,8.35,51.52,25,43.94
China,2017,Lake,7.75,7.95,92.87,9,75.39
Pakistan,2024,Pond,8.34,7.31,71.02,0,58.18
Mexico,2017,Well,7.66,9.19,93.23,44,53.69
Mexico,2022,Lake,6.66,4.73,58.76,16,54.56
Bangladesh,2016,Lake,7.43,9.33,98.52,40,80.77
Indonesia,2011,Well,7.11,9.37,55.2,35,99.3
Brazil,2022,Spring,7.39,6.04,82.98,8,67.09
Indonesia,2020,River,7.29,3.66,51.38,38,80.12
Brazil,2023,Lake,8.15,8.09,37.42,22,49.8
Indonesia,2003,Lake,7.63,5.36,88.31,28,88.85
Pakistan,2011,Spring,6.47,8.56,83.38,1,53.63
China,2022,Spring,6.16,4.15,87.44,17,94.81
China,2021,Tap,7.06,6.78,50.98,27,79.48
India,2020,Spring,6.04,6.56,79.26,46,76.6
Ethiopia,2019,Lake,6.8,3.7,45.39,41,43.21
China,2014,Well,6.92,5.54,30.79,48,83.69
China,2022,River,6.94,3.59,90.65,6,28.42
Nigeria,2015,Tap,8.45,6.25,66.65,10,63.04
Nigeria,2004,Well,6.76,8.9,98.86,6,78.83
India,2020,River,6.66,4.89,56.95,42,90.69
Ethiopia,2014,River,6.32,8.35,96.98,23,65.57
Bangladesh,2016,River,7.28,4.28,73.05,14,40.67
Nigeria,2017,Pond,6.38,7.72,65.85,30,87.91
Bangladesh,2004,Well,7.54,9.41,51.2,18,81.44
USA,2012,Tap,6.39,5.27,87.77,9,32.29
Nigeria,2018,Tap,7.44,9.3,88.02,47,89.79
Pakistan,2012,River,8.07,6.54,59.19,7,96.79
Ethiopia,2017,Well,6.11,5.22,80.91,0,63.02
India,2013,Pond,7.05,9.28,61.31,1,23.07
USA,2003,River,7.15,3.22,81.78,28,93.25
Ethiopia,2003,Spring,7.98,3.2,99.59,41,29.82
Pakistan,2019,Tap,7.17,7.2,48.37,9,70.65
Ethiopia,2019,Lake,7.42,8.58,74.38,41,52.07
Pakistan,2018,River,7.98,8.26,56.59,8,99.36
Pakistan,2012,Spring,7.4,3.56,68.39,49,93.37
Bangladesh,2011,Tap,6.9,9.65,91.19,30,82.76
Indonesia,2006,Pond,6.21,7.92,54.33,31,35.94
USA,2024,Well,7.82,9.64,35.07,1,75.94
Ethiopia,2011,Tap,8.18,5.3,85.93,23,65.77
Brazil,2020,Well,8.43,7.86,68.85,36,30.83
USA,2003,Well,8.32,9.02,61.46,42,83.57
Indonesia,2001,Pond,7.99,5.66,42.83,5,26.92
USA,2001,Pond,7.61,9.75,36.5,7,58.53
China,2004,River,7.95,4.85,49.51,39,54.13
Brazil,2022,River,7.08,5.21,80.32,24,84.5
Indonesia,2009,Tap,7.49,9.44,58.82,41,54.21
Bangladesh,2009,Pond,6.87,9.79,69.92,42,75.54
Ethiopia,2008,Spring,6.82,5,35.74,24,58.26
Mexico,2012,Tap,7.89,3.95,38.63,45,66.56
Indonesia,2006,Lake,7.13,8.31,30.79,10,39.28
India,2004,Well,6.53,9.51,77.13,34,36.2
Ethiopia,2009,Well,6.5,7.2,48.51,0,76.79
Indonesia,2009,River,8.15,7.44,97.68,22,29.79
China,2005,Spring,7.69,8.34,51.59,2,34.08
Mexico,2018,Pond,7.37,4.07,55.45,40,95.28
China,2020,Pond,7,9.81,62.86,0,40.27
Mexico,2007,River,7.08,5.55,52.34,43,45.86
India,2000,Lake,6.14,7.4,87.22,11,70.66
Ethiopia,2016,Tap,7.14,6.28,91.33,37,55.23
Bangladesh,2006,Tap,7.99,6.28,30.77,39,64.72
China,2013,Spring,6.97,7.92,75.83,30,31.57
China,2020,River,6.96,9.96,78.03,28,73.79
Pakistan,2020,River,6.04,7.61,97.3,34,32.53
Mexico,2016,Lake,7.14,8.56,55.93,27,79.82
Nigeria,2008,Tap,6.06,3.19,43.67,20,61.89
Ethiopia,2016,River,7.43,8.67,66.44,10,85.3
Mexico,2004,Pond,7.27,5.1,61.33,25,33.81
Pakistan,2024,Spring,8.1,3.89,85.42,10,50.2
USA,2019,Tap,7.45,3.79,93.28,4,87.75
Mexico,2007,Lake,6.81,7.76,36.07,6,83.9
Bangladesh,2005,Spring,7.29,9.98,89.26,30,97.26
Ethiopia,2010,Well,7.75,7.66,93.63,38,37.76
Pakistan,2018,Pond,6.23,4.84,94.69,41,63.12
USA,2003,Lake,7.55,4.42,83.5,7,21.43
Brazil,2017,Spring,8.29,6.68,81.95,26,97.22
Pakistan,2000,River,6.75,3.46,31.04,20,34.01
Brazil,2012,Well,7.57,5.8,94.41,29,92.38
Ethiopia,2013,Lake,8.05,7.66,54.61,13,74.27
China,2023,River,7.28,9.77,32.88,0,94.95
Pakistan,2000,Pond,7.79,5.98,58.91,44,39.86
India,2010,Well,6.78,4.4,81.3,23,47.61
Brazil,2016,Tap,6.77,8.72,60.94,5,33.15
Bangladesh,2003,River,7.67,8.21,83.06,5,53.79
India,2011,Spring,7.76,9.02,65.66,4,95.8
Indonesia,2009,Lake,8.34,4.5,50.96,34,65.69
Indonesia,2005,Well,6.56,5.83,44.2,43,53.29
USA,2024,River,7.17,9.87,59.48,14,45.99
China,2000,Tap,6.63,4.11,32.51,34,66.78
Ethiopia,2006,Lake,6.2,7.7,59.58,47,77.86
Pakistan,2020,Lake,7.01,4.66,34.8,49,52.54
Nigeria,2015,River,6.94,6.5,91.39,40,38.47
Bangladesh,2023,Tap,6.68,8.6,70.28,7,66.8
Brazil,2013,Pond,6.74,6.42,75.22,42,49.25
Ethiopia,2022,Pond,6.9,8.64,50.22,34,99.55
India,2019,Well,8.47,5.98,45.81,4,55.28
Indonesia,2019,River,7.96,10,79.55,30,54.76
Bangladesh,2005,Well,6.18,6.05,77.01,41,87.16
Nigeria,2021,Pond,8.18,4.05,38.59,30,40.08
Pakistan,2024,Lake,7.58,5.81,46.7,36,25.28
USA,2004,Well,8.23,8.2,96.26,7,88.31
Nigeria,2023,Tap,6.85,8.94,51.29,5,67.12
Bangladesh,2020,Spring,7.16,6.22,31.81,22,40.81
Nigeria,2017,Pond,8.24,7.16,34.46,15,47.42
Bangladesh,2014,Pond,6.68,8.91,84.28,43,54.05
Bangladesh,2005,Tap,8.29,8.69,83,48,74.43
Mexico,2024,Well,8.07,7.6,56.73,7,57.45
Brazil,2018,River,8.45,8.71,40.72,3,51.67
Indonesia,2000,Lake,6.81,7.03,64.87,31,82.44
Mexico,2000,Spring,6.59,3.03,53.23,48,25.75
Pakistan,2012,River,6.83,3.29,56.18,2,72.2
Mexico,2002,River,8.39,9.86,48.27,49,55.91
China,2009,Tap,6.83,4.01,34.4,15,46.79
China,2020,Well,7.41,5.83,85.38,33,94.21
Indonesia,2002,Pond,7.01,9.54,73.28,12,82.23
Nigeria,2008,Pond,6.99,4.37,88.42,32,37.54
Brazil,2007,Tap,6.48,8.91,65.22,21,72.19
Indonesia,2002,Well,7.34,8.73,98.95,30,85.78
Bangladesh,2024,Tap,8.12,9.9,97.38,23,99.15
India,2012,Pond,6.12,4.97,49.02,2,75.87
Brazil,2005,River,8.22,5.21,57.09,32,75.26
Brazil,2012,Lake,7.66,9.32,82.69,29,69.06
Bangladesh,2022,Well,7.54,4.64,84.36,25,23.2
Bangladesh,2019,Spring,7.56,6.84,93.75,33,66.8
USA,2019,Spring,6.74,7.95,75.68,21,84.4
Indonesia,2011,River,7.04,4.9,63.26,29,51.63
Bangladesh,2012,Tap,8,9.57,56.44,34,66.96
China,2001,Tap,6.77,7.66,59.34,24,94.12
Pakistan,2020,Pond,7.18,3.33,89.53,27,33.76
India,2023,River,6.05,3.95,98.6,32,42.44
Indonesia,2022,Pond,7.83,4.34,33.63,22,28.83
Ethiopia,2015,Pond,7.04,4.71,70.62,25,60.02
China,2022,Spring,7.31,8.11,66.4,8,87.17
Nigeria,2005,Pond,6.29,3.62,56.33,7,54.82
Bangladesh,2018,Pond,8.48,5.45,89.61,36,25.59
Ethiopia,2020,Spring,6.76,9.38,70.3,32,41.08
Bangladesh,2012,Tap,7.59,6.9,51.92,14,91.18
Brazil,2016,Well,7.45,4.86,61.09,48,64.6
China,2022,Lake,7.96,9.7,54.98,46,93.13
Brazil,2008,Pond,6.73,4.71,60.11,7,86.76
USA,2016,Well,7.89,9.34,34.99,20,53.14
Brazil,2001,Spring,6.96,8.08,37.83,2,70.68
USA,2018,Well,7.03,8.18,73.66,8,73.15
USA,2018,Lake,7.68,8.35,77.88,13,79.74
Ethiopia,2023,Well,7.96,6.55,74.56,37,46.64
Bangladesh,2006,Well,7.67,8.7,83.42,26,43.12
Nigeria,2021,Well,8.25,8.85,96.05,19,74.77
Brazil,2009,Well,6.71,5.52,90.24,3,85.5
China,2009,River,8.25,5.8,59.3,23,53.14
USA,2019,Pond,6.33,9.22,45.23,26,45.69
Bangladesh,2008,Spring,7.65,6.67,51.83,11,86.04
India,2016,Lake,7.37,9.07,71.14,27,74.96
Indonesia,2014,Spring,7.24,7.39,89.93,34,47.48
Ethiopia,2001,River,6.78,7.15,79.12,23,62.37
Nigeria,2003,River,7.26,3.22,68.01,30,96.87
Mexico,2018,River,6.4,4.95,72.13,2,79.99
Ethiopia,2016,Pond,6.92,6.51,66.98,29,37.73
India,2004,River,6.25,7.11,98.01,26,43.6
Indonesia,2006,Well,7.43,7.41,87.13,16,41.22
India,2017,Spring,6.24,8.01,84.69,5,87.87
Brazil,2020,Tap,6.4,7.59,66.21,46,71.31
USA,2021,Lake,6.21,8.94,53.23,42,95.2
Nigeria,2006,River,6.95,5.07,31.37,17,27.27
Pakistan,2016,Spring,8.1,7.49,33.04,34,24.16
USA,2006,River,8.27,3.36,32.12,26,74.1
Pakistan,2003,Pond,6.18,6.36,98.63,16,41.33
Indonesia,2007,River,7.59,4.88,38.01,10,74.33
Bangladesh,2012,River,7.71,5.67,39.95,37,77.88
Mexico,2003,River,7.33,5.48,63.89,36,44.36
China,2005,River,7.67,3.42,63.7,41,96.21
USA,2024,Lake,6.58,6.27,94.4,33,81.98
Nigeria,2004,Spring,7.22,9.96,35.15,46,49.39
India,2011,Pond,6.98,5.09,97.01,31,52.97
Nigeria,2003,River,6.22,8.15,45.15,42,77.27
Indonesia,2023,River,7.56,6.83,97.91,45,44.32
Pakistan,2008,River,7.24,5.28,67.89,45,43.63
India,2003,River,6.69,3.63,75.64,34,69.99
China,2018,Well,7.18,4.51,52.1,27,30.78
China,2023,Well,7.94,8.47,72.83,21,99.47
USA,2013,Tap,8,4.95,79.76,15,42.98
Indonesia,2004,River,7.62,4.01,30.73,45,50.62
Bangladesh,2017,Tap,7.17,5.32,32.4,41,37.94
Indonesia,2009,Lake,7.44,7.09,99.05,39,71.48
Pakistan,2024,Tap,6.96,7.92,62.03,11,24.84
Nigeria,2018,Spring,6.32,5.71,95.51,4,94.22
China,2011,Well,6.96,6.49,81.09,25,44.32
Nigeria,2017,Well,7.33,6.18,56.11,25,94.19
Nigeria,2016,River,7.5,3.06,40.56,12,40.28
Nigeria,2023,River,8.34,5.77,98.47,23,61.1
China,2010,Lake,7.94,7.11,70.91,43,75.61
Ethiopia,2002,Pond,6.38,6.99,43.46,2,69.01
Brazil,2022,Lake,6.44,8.25,77.72,31,61
Pakistan,2016,Spring,6.25,7.69,36.44,22,83.08
Ethiopia,2000,River,7.85,4.94,90.76,48,57.64
Pakistan,2014,River,7.77,4.79,36.31,36,46.65
India,2008,Lake,8.47,6.25,46.53,37,77.49
Indonesia,2014,Lake,7.31,8.13,36.4,44,94.98
Indonesia,2023,Lake,8.07,3.66,37.27,37,68.11
Mexico,2002,Well,7.44,9.64,66.67,12,42.38
Indonesia,2021,Tap,8.19,6.8,78.09,14,81.02
China,2018,Tap,7.8,5.14,85.19,1,80.95
Bangladesh,2012,River,7.61,7.85,78.65,10,41.35
USA,2011,Well,7.41,3.31,55.44,15,50.77
Mexico,2019,Lake,7.81,6.39,69.01,17,31.28
USA,2000,River,7.05,6.4,94.94,33,26.37
Pakistan,2020,Well,6.24,4.13,57.13,9,84.59
USA,2016,Spring,6.1,8.86,47.67,12,49.81
USA,2012,Pond,7.2,8.58,66.35,31,42.5
Mexico,2000,Well,7.5,4.07,50.81,7,40.49
India,2009,River,6.2,5.55,48.33,6,25.98
Nigeria,2014,Tap,6.72,3.7,84.52,47,98.79
Indonesia,2006,Lake,6.81,8.94,92.36,16,49.36
Indonesia,2021,Pond,7.41,5.26,65.16,40,33.14
China,2017,Spring,6.7,6.08,84.58,26,89.13
Mexico,2015,Pond,6.24,5.27,43.1,7,77.85
China,2013,Pond,6.41,5.17,68.34,28,73.01
Bangladesh,2017,Well,6.43,8.23,74.53,36,43.78
Bangladesh,2006,River,8.11,8.23,64.35,26,53.24
China,2016,River,6.71,6.62,38.18,36,87.29
Mexico,2017,Pond,7.79,7.6,81.39,23,71.19
China,2011,Lake,7.42,6.58,88.74,44,47.65
